=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.09 15:50:23 =~=~=~=~=~=~=~=~=~=~=~=
Choisissez la methode :
1 - Chronoamperometrie
2 - Voltammetrie cyclique
Methode selectionnee : Voltammetrie cyclique
Entrez E1 (en Volts) :
Entrez E2 (en Volts) :
Entrez la vitesse de balayage (en V/s) :
Entrez le nombre de cycles :
Parametres enregistres.
E1 = -1.00 V, E2 = 1.00 V, Vitesse = 0.10 V/s
Cycles = 3.00
Entrez le facteur d'affichage (valeur par défaut = 1, valeur utilisée pour les mesures = 4) :
Facteur d'affichage choisi : 4
Entrez 'ok' pour commencer l'expérience.
Debut
Temps (s);tension (mV);courant (uA)
46.6862;343.11;28.40
46.7644;335.29;28.40
46.8426;327.47;27.23
46.9208;319.65;27.23
46.9990;311.83;27.62
47.0772;304.01;27.23
47.1554;296.19;23.33
47.2336;288.37;23.33
47.3118;280.55;26.84
47.3900;272.73;26.84
47.4682;264.91;26.45
47.5464;257.09;26.84
47.6246;249.27;26.06
47.7028;241.45;26.84
47.7810;233.63;25.67
47.8592;225.81;25.67
47.9374;217.99;25.67
48.0156;210.17;22.16
48.0938;202.35;25.28
48.1720;194.53;25.67
48.2502;186.71;27.23
48.3284;178.89;19.82
48.4066;171.07;23.72
48.4848;163.25;20.60
48.5630;155.43;20.21
48.6412;147.61;21.77
48.7194;139.79;25.67
48.7976;131.97;21.77
48.8758;124.15;19.82
48.9540;116.33;25.67
49.0322;108.51;20.21
49.1104;100.69;24.50
49.1886;92.87;19.82
49.2668;85.05;24.11
49.3450;77.23;24.11
49.4232;69.41;23.33
49.5014;61.59;19.04
49.5796;53.77;23.33
49.6578;45.95;24.11
49.7360;38.13;22.55
49.8142;30.31;19.04
49.8924;22.49;22.16
49.9706;14.67;17.87
50.0488;6.85;18.26
50.1270;-0.97;22.94
50.2052;-8.79;22.16
50.2834;-16.61;22.55
50.3616;-24.43;21.38
50.4398;-32.25;22.16
50.5180;-40.07;20.60
50.5962;-47.89;17.09
50.6744;-55.71;17.87
50.7526;-63.53;23.33
50.8308;-71.35;20.60
50.9090;-79.17;16.31
50.9872;-86.99;17.09
51.0654;-94.81;19.43
51.1436;-102.63;16.31
51.2219;-110.45;17.09
51.3001;-118.27;15.92
51.3783;-126.09;19.43
51.4565;-133.91;16.31
51.5347;-141.74;15.53
51.6129;-149.56;20.60
51.6911;-157.38;15.53
51.7693;-165.20;19.43
51.8475;-173.02;16.70
51.9257;-180.84;18.26
52.0039;-188.66;15.92
52.0821;-196.48;15.14
52.1603;-204.30;19.04
52.2385;-212.12;15.53
52.3167;-219.94;15.14
52.3949;-227.76;20.21
52.4731;-235.58;17.48
52.5513;-243.40;14.75
52.6295;-251.22;15.53
52.7077;-259.04;19.82
52.7859;-266.86;18.26
52.8641;-274.68;13.58
52.9423;-282.50;13.97
53.0205;-290.32;17.48
53.0987;-298.14;15.92
53.1769;-305.96;13.19
53.2551;-313.78;16.70
53.3333;-321.60;14.36
53.4115;-329.42;10.46
53.4897;-337.24;10.46
53.5679;-345.06;10.46
53.6461;-352.88;7.34
53.7243;-360.70;7.73
53.8025;-368.52;5.39
53.8807;-376.34;7.34
53.9589;-384.16;6.17
54.0371;-391.98;5.00
54.1153;-399.80;-2.02
54.1935;-407.62;-3.58
54.2717;-415.44;-6.31
54.3499;-423.26;-9.04
54.4281;-431.08;-13.33
54.5063;-438.90;-15.28
54.5845;-446.72;-23.47
54.6627;-454.54;-21.91
54.7409;-462.36;-32.05
54.8191;-470.18;-37.90
54.8973;-478.00;-42.97
54.9755;-485.82;-53.11
55.0537;-493.64;-56.23
55.1319;-501.46;-65.98
55.2101;-509.28;-71.05
55.2883;-517.10;-83.92
55.3665;-524.92;-90.16
55.4447;-532.74;-99.13
55.5229;-540.56;-111.22
55.6011;-548.38;-121.36
55.6793;-556.20;-125.65
55.7575;-564.02;-133.06
55.8357;-571.84;-149.05
55.9139;-579.66;-156.46
55.9921;-587.48;-166.21
56.0703;-595.30;-173.62
56.1485;-603.12;-179.47
56.2267;-610.94;-181.42
56.3049;-618.76;-190.78
56.3831;-626.58;-194.68
56.4613;-634.40;-198.97
56.5395;-642.22;-198.97
56.6177;-650.04;-198.97
56.6959;-657.86;-198.97
56.7741;-665.68;-198.97
56.8523;-673.50;-198.97
56.9305;-681.32;-198.97
57.0087;-689.14;-198.97
57.0869;-696.96;-198.97
57.1651;-704.79;-196.24
57.2434;-712.61;-194.68
57.3216;-720.43;-189.61
57.3998;-728.25;-192.34
57.4780;-736.07;-191.17
57.5562;-743.89;-188.05
57.6344;-751.71;-190.39
57.7126;-759.53;-189.22
57.7908;-767.35;-188.05
57.8690;-775.17;-186.49
57.9472;-782.99;-184.15
58.0254;-790.81;-184.54
58.1036;-798.63;-178.30
58.1818;-806.45;-179.47
58.2600;-814.27;-175.96
58.3382;-822.09;-177.13
58.4164;-829.91;-167.38
58.4946;-837.73;-169.72
58.5728;-845.55;-161.14
58.6510;-853.37;-164.26
58.7292;-861.19;-161.92
58.8074;-869.01;-159.58
58.8856;-876.83;-157.63
58.9638;-884.65;-156.85
59.0420;-892.47;-154.51
59.1202;-900.29;-151.39
59.1984;-908.11;-147.10
59.2766;-915.93;-146.71
59.3548;-923.75;-145.93
59.4330;-931.57;-144.76
59.5112;-939.39;-143.20
59.5894;-947.21;-141.25
59.6676;-955.03;-138.52
59.7458;-962.85;-138.52
59.8240;-970.67;-136.96
59.9022;-978.49;-135.40
59.9804;-986.31;-133.45
60.0586;-994.13;-131.50
60.1368;-988.26;-129.55
60.2150;-980.44;-126.04
60.2932;-972.62;-122.14
60.3714;-964.80;-120.19
60.4496;-956.98;-117.85
60.5278;-949.16;-116.29
60.6060;-941.34;-113.95
60.6842;-933.52;-110.44
60.7624;-925.70;-107.71
60.8406;-917.88;-108.10
60.9188;-910.06;-105.76
60.9970;-902.24;-102.64
61.0752;-894.42;-101.86
61.1534;-886.60;-100.30
61.2316;-878.78;-96.79
61.3098;-870.96;-95.62
61.3880;-863.14;-94.06
61.4662;-855.32;-92.50
61.5444;-847.50;-89.77
61.6226;-839.68;-88.21
61.7008;-831.86;-87.04
61.7790;-824.04;-83.92
61.8572;-816.22;-80.02
61.9354;-808.40;-81.19
62.0136;-800.58;-78.07
62.0918;-792.76;-76.90
62.1700;-784.94;-73.39
62.2482;-777.12;-71.83
62.3264;-769.30;-66.76
62.4046;-761.48;-64.81
62.4828;-753.66;-61.69
62.5610;-745.84;-54.67
62.6392;-738.02;-55.84
62.7174;-730.20;-52.33
62.7956;-722.38;-50.38
62.8738;-714.56;-46.87
62.9520;-706.74;-44.53
63.0302;-698.92;-40.24
63.1084;-691.10;-33.22
63.1866;-683.28;-32.44
63.2649;-675.46;-29.71
63.3431;-667.64;-25.81
63.4213;-659.82;-21.13
63.4995;-652.00;-18.79
63.5777;-644.18;-15.67
63.6559;-636.36;-11.38
63.7341;-628.54;-9.82
63.8123;-620.72;-5.92
63.8905;-612.90;-2.80
63.9687;-605.08;-0.07
64.0469;-597.26;3.05
64.1251;-589.44;7.73
64.2033;-581.62;10.07
64.2815;-573.80;11.63
64.3597;-565.98;18.26
64.4380;-558.16;13.19
64.5162;-550.34;21.77
64.5944;-542.52;18.26
64.6726;-534.70;22.55
64.7508;-526.88;22.55
64.8290;-519.06;27.23
64.9073;-511.24;25.67
64.9855;-503.42;26.45
65.0637;-495.60;24.11
65.1419;-487.78;25.67
65.2201;-479.96;27.23
65.2983;-472.14;30.35
65.3766;-464.32;28.01
65.4548;-456.50;28.79
65.5330;-448.68;32.30
65.6112;-440.86;33.86
